temperature_c,angular_frequency_rad_per_s,storage_modulus_pa,storage_standard_uncertainty_pa,storage_model_pa,loss_modulus_pa,loss_standard_uncertainty_pa,loss_model_pa
0.0,0.1000,2.950,0.490,2.881,148.182,1.954,148.410
0.0,0.1585,7.275,0.770,7.210,233.995,3.098,234.696
0.0,0.2512,17.712,1.219,17.401,368.530,4.857,370.919
0.0,0.3981,40.890,1.950,40.436,577.815,7.628,583.408
0.0,0.6310,90.429,3.166,90.304,897.811,11.847,909.429
0.0,1.000,193.601,5.209,193.468,1381.229,18.186,1399.122
0.0,1.585,395.886,8.735,396.909,2092.364,27.354,2115.538
0.0,2.512,775.449,14.839,778.335,3104.602,40.338,3130.774
0.0,3.981,1448.818,24.859,1456.282,4491.832,58.320,4515.759
0.0,6.310,2579.152,40.937,2595.045,6301.695,80.911,6321.885
0.0,10.00,4359.395,65.297,4396.214,8526.568,108.350,8554.311
0.0,15.85,6978.222,99.718,7067.401,11079.910,140.203,11141.189
0.0,25.12,10589.670,145.360,10762.308,13797.660,173.685,13908.304
0.0,39.81,15240.340,202.590,15496.220,16433.310,206.047,16572.838
0.0,63.10,20890.950,270.563,21058.998,18743.830,236.976,18770.998
0.0,100.0,27364.350,347.318,26962.176,20409.260,262.108,20124.797
10.0,0.1000,1.813,0.396,1.756,118.479,1.585,118.464
10.0,0.1585,4.457,0.620,4.478,187.541,2.498,187.068
10.0,0.2512,11.127,0.978,11.029,295.930,3.943,295.900
10.0,0.3981,26.400,1.548,26.179,465.325,6.189,466.889
10.0,0.6310,59.747,2.499,59.776,727.025,9.657,731.793
10.0,1.000,130.639,4.062,131.072,1125.524,14.947,1134.638
10.0,1.585,275.150,6.801,275.487,1721.208,22.793,1733.040
10.0,2.512,553.661,11.425,554.016,2583.663,33.849,2596.742
10.0,3.981,1061.283,19.212,1064.097,3795.438,49.579,3801.024
10.0,6.310,1946.246,32.279,1948.477,5421.453,70.339,5412.683
10.0,10.00,3388.485,52.512,3395.303,7492.469,96.282,7467.077
10.0,15.85,5593.534,82.074,5620.094,9958.459,127.051,9938.026
10.0,25.12,8752.303,123.294,8820.804,12698.490,160.865,12707.183
10.0,39.81,12976.430,176.671,13103.341,15494.200,195.873,15544.683
10.0,63.10,18287.190,241.330,18390.023,18080.710,228.566,18116.973
10.0,100.0,24558.560,316.236,24340.110,20124.580,257.433,20033.027
20.0,0.1000,1.124,0.329,1.097,96.363,1.281,96.222
20.0,0.1585,2.879,0.506,2.847,152.274,2.006,151.564
