temperature_c,frequency_hz,storage_modulus_mpa,loss_modulus_mpa,shear_strain_percent,relative_humidity_percent
10,0.01,559.29,19.724,0.1,29.854
10,0.0178,566.06,16.325,0.1,29.891
10,0.0316,571.5,14.148,0.101,29.962
10,0.0562,576.17,12.695,0.101,29.918
10,0.1,580.34,11.676,0.101,29.99
10,0.178,584.29,10.878,0.101,30
10,0.316,587.92,10.682,0.101,30
10,0.562,591.35,10.264,0.101,30
10,1,594.75,10.265,0.101,30
10,1.78,598.88,10.425,0.101,30
10,3.16,602.26,10.631,0.101,30
10,5.62,606.83,10.543,0.101,30
10,10,611.01,10.019,0.1,29.9
